Addr.,Fixture Profile,Label
063,adj_mppp,Upstage Right (L)
081,adj_mppp,Upstage Right (R)
059,adj_mppp,Upstage Center (L)
085,adj_mppp,Upstage Center (R)
055,adj_mppp,Upstage Left (L)
073,adj_mppp,Upstage Left (R)
089,adj_mppp,Stage Right (L)
093,adj_mppp,Stage Right (R)
019,adj_mppp,Stage Cener (L)
037,adj_mppp,Stage Center (R)
051,adj_mppp,Stage Left (L)
077,adj_mppp,Stage Left (R)
007,adj_mppp,Downstage Right (L)
033,adj_mppp,Downstage Right (R)
015,adj_mppp,Downstage Center (L)
041,adj_mppp,Downstage Center (R)
011,adj_mppp,Downstage Left (L)
029,adj_mppp,Downstage Left (R)
001,sol_mc36,Center Stage (L)
026,sol_mc36,Center Stage (r)
004,sol_mc36,Downstage Center (L)
023,sol_mc36,Downstage Center (R)
048,sol_mc36,Stage Right (L)
067,sol_mc36,Stage Right (R)
045,sol_mc36,Stage Left (L)
070,sol_mc36,Stage Left (R)
